proteinID	geneID	uniprot	protein_name	gene_name
CPLX0-1162			HslV hexamer	
CPLX0-7913			tellurite methyltransferase	
GMP-SYN-CPLX			GMP synthetase	
CPLX-64				
CPLX0-7854			DNA-binding transcriptional repressor TreR	
GLUTATHIONE-REDUCT-NADPH-CPLX				
CPLX-155			<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II	EII<sup>cel</sup>, EII<sup>chb</sup>, Enzyme II<sup>cel</sup>, Enzyme II <sup>chb</sup>
CPLX0-7824			iron-sulfur cluster insertion protein SufA	
GALACTOACETYLTRAN-CPLX				
BIOTIN-SYN-CPLX			biotin synthase	BioB
CPLX0-7797			DNA-binding transcriptional dual regulator FNR	
FLAGELLAR-MOTOR-COMPLEX			flagellar basal body	flagellar motor complex
ASPKINIII-CPLX			aspartate kinase III	aspartokinase III, lysine-sensitive aspartokinase 3
CPLX0-7754			UhpA-Phosphorylated DNA-binding transcriptional activator	UhpA response regulator - phosphorylated, UhpA-P<sup>asp54</sup>
EIISGC			putative PTS enzyme II SgcBCA	EII<sup>Sgc</sup>, Enzyme II<sup>Sgc</sup>
AROC-CPLX				
CPLX0-7723				
DIHYDROPICRED-CPLX			4-hydroxy-tetrahydrodipicolinate reductase	
ALKAPHOSPHA-CPLX			alkaline phosphatase	
CPLX0-7698			MukF dimer	
CYT-O-UBIOX-CPLX			cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase	ubiquinol oxidase (H<sup>+</sup>-transporting), cytochrome <i>bo</i> ubiquinol oxidase, cytochrome <i>o</i> ubiquinol oxidase, ubiquinol:oxygen oxidoreductase, cytochrome b562-o complex, cytochrome <i>bo<sub>3</sub></i>, cytochrome <i>bo</i><sub>3</sub> terminal oxidase
ACPSUB-CPLX			citrate lyase [acyl carrier protein] component	CitD acyl carrier protein
CPLX0-7683			sulfoquinovose isomerase	
CPLX0-8589			3-aminoacrylate deaminase	
ABC-63-CPLX				
CPLX0-7655			maltose outer membrane channel / phage lambda receptor protein	maltoporin, maltose high-affinity receptor, phage lambda receptor protein
CPLX0-8568			uridylyl-[protein PII-1]	
ABC-46-CPLX			galactofuranose ABC transporter	
CPLX0-7629			Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA	
CPLX0-8547				
ABC-24-CPLX			spermidine preferential ABC transporter	
CPLX0-7608			5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit	
CPLX0-8307			sensor histidine kinase DcuS	
7-ALPHA-HYDROXYSTEROID-DEH-CPLX				
CPLX0-7462				
CPLX0-8275			histidine kinase GlrK	
CPLX0-721				
CPLX0-8251			amino acid racemase YgeA	
TRPS-CPLX				
CPLX0-3951			peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcB	
CPLX0-8227			FicT-FicA complex	
THREDEHYDCAT-CPLX			catabolic threonine dehydratase	biodegradative L-threonine dehydrase
CPLX0-3927			regulatory ATPase RavA	
CPLX0-8201			glutarate dioxygenase GlaH	
SECE-G-Y-CPLX			SecYEG translocon	
CPLX0-3741				
CPLX0-8181			N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit	
QUINOPRIBOTRANS-CPLX			quinolinate phosphoribosyltransferase (decarboxylating)	
CPLX0-3401			fimbrial complex	type 1 pilin complex
CPLX0-8156				
PORPHOBILSYNTH-CPLX				
CPLX0-3104			ClpAP	
CPLX0-8113			phosphate signaling protein PhoU	
PHOR-CPLX			sensor histidine kinase PhoR	PhoR
CPLX0-2861			transcriptional antiterminator BglG	
CPLX0-8092			negative regulator of MalT activity/cystathionine &beta;-lyase	
PC00007			DNA-binding transcriptional repressor TrpR	TrpR
CPLX0-248			cysteine desulfurase IscS	
CPLX0-801			periplasmic acid stress chaperone HdeA	
NRDACTMULTI-CPLX			anaerobic nucleoside-triphosphate reductase activating system	
CPLX0-231			galactitol-specific PTS enzyme II	EII<sup>Gat</sup>, Enzyme II <sup>Gat</sup>
CPLX0-7983			moderate conductance mechanosensitive channel YbiO	
METHYLENETHFREDUCT-CPLX				
CPLX0-1942			ferrichrome outer membrane transport complex	
CPLX0-7958			methylphosphonate degradation complex	
LTAA-CPLX			low-specificity L-threonine aldolase	
CPLX0-1521			stationary phase nucleoid component that sequesters iron and protects DNA from damage	
CPLX0-7935			carbon-phosphorus lyase core complex	C-P lyase core complex
HOLO-ACP-SYNTH-CPLX				
CPLX0-1141			selenocysteine synthase	
CPLX0-7909			RnlA-RnlB toxin-antitoxin complex	
GLYOXI-CPLX			lactoylglutathione lyase	GLX I
CPLX-3942			sulfurtransferase complex TusBCD	
CPLX0-7849			2,3-dihydroxybenzoyl-EntB	
GLUTAMATESYN-DIMER			glutamate synthase	
COBU-CPLX				
CPLX0-7820			3-hydroxy-2,4-pentadione 5-phosphate thiolase	
FUMARASE-C			fumarase C	
BCCP-CPLX			biotin carboxyl carrier protein (dimer)	BCCP, AccB
CPLX0-7794			3-sulfolactaldehyde reductase	
FABZ-CPLX			3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	(3R)-hydroxymyristoyl-ACP dehydratase, (3R)-hydroxymyristoyl-(acyl-carrier-protein) dehydratase
ASPCARBTRANS-CPLX				
CPLX0-7745			DNA-binding transcriptional dual regulator MurR	
E2O				
ARCB-CPLX			sensor histidine kinase ArcB	ArcB
CPLX0-7720				
DIAMINOPIMDECARB-CPLX				
AKBLIG-CPLX				
CPLX0-7695			glutaminase 2	
CYSSYNMULTI-CPLX			cysteine synthase complex	
ACETYLORNDEACET-CPLX				
CPLX0-7678			ZntR-Zn<sup>2+</sup> DNA-binding transcriptional activator	
CPLX0-8586			universal stress protein C	
ABC-60-CPLX			putative transport complex, ABC superfamily	
CPLX0-7652			L-rhamnose isomerase	
CPLX0-8562			hexapeptide repeats-containing protein YrdA	
ABC-41-CPLX				
CPLX0-7626			small conductance mechanosensitive channel MscS	
CPLX0-8542			cupric reductase RclA	
ABC-21-CPLX			putative transport complex, ABC superfamily	
CPLX0-7561			ChpB-ChpS complex	
CPLX0-8303			putative aminoacrylate hydrolase RutD	
6PFK-1-CPX			6-phosphofructokinase 1	PFK I
CPLX0-7451			flagellar export apparatus	
CPLX0-8269			putative tRNA-binding protein YgjH	
XANTHOSINEPHOSPHORY-CPLX			xanthosine phosphorylase	purine nucleoside phosphorylase II
CPLX0-661			putative hydrolase YcaC	
CPLX0-8247				
TRANSALDOLB-CPLX			transaldolase B	
CPLX0-3948			inosine/xanthosine triphosphatase	
CPLX0-8218			diguanylate cyclase DosC	
TATABCE-CPLX			twin arginine protein translocation system	Tat system, Tat translocase, TatABCE, TatABC
CPLX0-3923			putative monooxygenase YdhR	
CPLX0-8198			lipoprotein NlpI	
SAMDECARB-CPLX				
CPLX0-3661			fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase	
CPLX0-8176				
PYRUVATEDEH-CPLX				
CPLX0-3301			DNA replication inhibitor CspD	
CPLX0-8152			cystine ABC transporter	
PHOSPHO-PHOR			PhoR-<i>N</i>-phospho-L-histidine	PhoR, NmpB, PhoR-P<sup>his213</sup>, sensory histidine kinase PhoR - phosphorylated
CPLX0-3081			Xaa-Pro aminopeptidase	
CPLX0-8110			molybdenum cofactor insertion chaperone PaoD	
PGLYCDEHYDROG-CPLX			phosphoglycerate dehydrogenase	
CPLX0-2641			chaperone protein HtpG	
CPLX0-8075			HypT-[Met-oxidized] DNA-binding transcriptional dual regulator	YjiE, HypT-[Met-oxidized]
PC00003			DNA-binding transcriptional dual regulator AraC	AraC
CPLX0-2441			transcription termination factor Rho	
CPLX0-2425			DNA gyrase	Topoisomerase II
CPLX0-8005			3-oxoacyl-[acyl-carrier-protein] reductase FabG	3-oxoacyl-[acyl-carrier-protein] reductase
NITRATREDUCTZ-CPLX			nitrate reductase Z	NRZ, quinol:nitrate oxidoreductase
CPLX0-227			&alpha;-ketoglutarate-dependent taurine dioxygenase	sulfate starvation-induced protein 3, SSI3
CPLX0-7979			monoacetylchitobiose-6-phosphate hydrolase	
MENF-CPLX			isochorismate synthase MenF	
CPLX0-1923			energy transducing Ton complex	
CPLX0-7955			acetate/glycolate:cation symporter	
L-GLN-FRUCT-6-P-AMINOTRANS-CPLX			L-glutamine&mdash;D-fructose-6-phosphate aminotransferase	
CPLX0-1421			bacterioferritin	
CPLX0-7932			cytosine/isoguanine deaminase	
HISTDEHYD-CPLX				
CPLX0-1021			2-methylisocitrate lyase	
CPLX0-7904			pyrimidine-specific ribonucleoside hydrolase RihB	
GLYCPDIESTER-PERI-CPLX			glycerophosphoryl diester phosphodiesterase, periplasmic	
CPLX-169			sorbitol-specific PTS enzyme II	EII<sup>Gut</sup>, Enzyme II<sup>Gut</sup>, glucitol PTS permease
CPLX0-7844			<i>p</i>-aminobenzoyl-glutamate hydrolase	
GLUCOSAMINE-6-P-DEAMIN-CPLX				
CITRYLY-CPLX			citrate lyase, citryl-acyl carrrier protein lyase component	citrate lyase, citryl-ACP lyase component
CPLX0-7817			glutaredoxin 4	
FRUCBISALD-CLASSII			fructose-bisphosphate aldolase class II	
B1-CPLX			ribonucleoside-diphosphate reductase 1, &alpha; subunit dimer	R1 protein, B1 protein
CPLX0-7788			NAD-dependent dihydropyrimidine dehydrogenase	
F16B-CPLX			fructose-1,6-bisphosphatase 1	
ASPARTASE-CPLX				
CPLX0-7740			DNA-binding transcriptional repressor CytR	
DXPREDISOM-CPLX				
APORNAP-CPLX			RNA polymerase, core enzyme	
CPLX0-7717			peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcA	penicillin binding protein 1A
DGTPTRIPHYDRO-CPLX				
AERGLYC3PDEHYDROG-CPLX				GlpD, glycerol-3-phosphate oxidase, glycerol-3-phosphate:ubiquinone oxidoreductase
CPLX0-7692			nucleoside triphosphate pyrophosphohydrolase	
CREC-CPLX			sensor histidine kinase CreC	
ACETYL-COA-ACETYLTRANSFER-CPLX				
CPLX0-7672			MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator	
CPLX0-8583			phosphoglucosamine mutase	
ABC-58-CPLX				LsrACDB
CPLX0-7647			ribokinase	
CPLX0-8558			sulfur carrier protein ThiS adenylyltransferase	
ABC-34-CPLX			<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter	
CPLX0-7623			putative two-component system connector protein AriR	
CPLX0-8538				
ABC-19-CPLX			molybdate ABC transporter	
CPLX0-7535			arginine:agmatine antiporter	AdiC
CPLX0-8300			PBP1B&gamma;	
3-ISOPROPYLMALISOM-CPLX			3-isopropylmalate dehydratase	isopropylmalate isomerase, &alpha;-isopropylmalate isomerase, &alpha;-IPM isomerase, IPMI, 3-isopropylmalate isomerase, 3-carboxy-3-hydroxy-isocaproate isomerase
CPLX0-743				
CPLX0-8265			sensory histidine kinase TorS - his443 phosphorylated	
URACIL-PRIBOSYLTRANS-CPLX				
CPLX0-3970			murein tripeptide ABC transporter	
CPLX0-8240			redox-responsive ATPase YchF	
TRANS-CPLX-202			multidrug efflux pump MdtABC-TolC	
CPLX0-3939			universal stress protein G	
CPLX0-8213			periplasmic protein-L-methionine sulfoxide reducing system	quinol:protein L-methionine sulfoxide oxidoreductase
SULFITE-REDUCT-CPLX			assimilatory sulfite reductase (NADPH)	
CPLX0-3901			&alpha;-D-xyloside xylohydrolase	
CPLX0-8191			chaperone protein DnaJ	
RUVABC-CPLX			resolvasome	RuvABC
CPLX0-3602			RNase T	ribonuclease T
CPLX0-8173			CRISPR-associated endoribonuclease Cas2	
PUTA-CPLX			fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	
CPLX0-3221			DnaA initiator-associating factor for replication initiation	
CPLX0-8127				
PHOSPHO-NARX			NarX-<i>N</i>-phospho-L-histidine	NarR, FrdR, NarX, NarX-P<sup>his399</sup>
CPLX0-303			fructose-1,6-bisphosphatase 2	FBPase II, fructose-bisphosphatase class II
CPLX0-8107			small heat shock protein IbpB	
PDXK-CPLX			pyridoxal kinase I / hydroxymethylpyrimidine kinase	
CPLX0-2561			bacterial condensin MukBEF	
CPLX0-8044			molybdopterin-guanine dinucleotide biosynthesis adaptor protein	
PANTOATE-BETA-ALANINE-LIG-CPLX				
CPLX0-242			thiosulfate sulfurtransferase GlpE	
CPLX0-7994			poly-<i>N</i>-acetyl-D-glucosamine synthase	UDP-<i>N</i>-acetyl-D-glucosamine &beta;-1,6-N-acetyl-D-glucosaminyl transferase, PgaCD, poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine synthase, PGA synthase
NARQ-CPLX			sensor histidine kinase NarQ	
CPLX0-2201			The Tol-Pal Cell Envelope Complex	
CPLX0-7975			DNA-binding transcriptional repressor/NMN adenylyltransferase NadR	
MALIC-NADP-CPLX			malate dehydrogenase (oxaloacetate-decarboxylating) (NADP<sup>+</sup>)	
CPLX0-1841			predicted xanthine dehydrogenase	
CPLX0-7950			2-hydroxy-6-oxononatrienedioate hydrolase	
KDO-8PSYNTH-CPLX			3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase	
CPLX0-1321			HflK-HflC complex; regulator of FtsH protease	HflA
CPLX0-7927			NADPH-dependent curcumin/dihydrocurcumin reductase	
H2PTEROATESYNTH-CPLX				
CPLX-9494			holocytochrome <I>c</I> synthase complex	CcmFH complex
CPLX0-7887			glutamate&mdash;pyruvate aminotransferase AlaC	
GLYCDEH-CPLX			L-1,2-propanediol dehydrogenase / glycerol dehydrogenase	
CPLX-166			mannitol-specific PTS enzyme II	EIIMtl
CPLX0-7839			sulfur acceptor protein CsdE	
GLNL-CPLX			protein histidine kinase NtrB	nitrogen regulator II, NRII, GlnL
CHORISMUTPREPHENDEHYDRAT-CPLX			fused chorismate mutase/prephenate dehydratase	chorismate mutase-prephenate hydrolyase(decarboxylating), P-protein
CPLX0-7810			heme-containing peroxidase/deferrochelatase	B1019, YcdB
FORMHYDROGI-CPLX			hydrogenase 1	HYD1, hydrogenase I, NiFe hydrogenase, hydrogen:menaquinone oxidoreductase, hydrogen oxidase, hydrogen:oxygen oxidoreductase
ATPE-CPLX			ATP synthase F<sub>o</sub> complex - subunit c	
CPLX0-7766			proofreading thioesterase in enterobactin biosynthesis	
ETHAMLY-CPLX				
ASNSYNB-CPLX			asparagine synthetase B	
CPLX0-7732			<i>N</i>-acetylmuramic acid 6-phosphate etherase	
DSBG-CPLX			protein sulfenic acid reductase and chaperone DsbG	
ANSB-CPLX			L-asparaginase 2	
CPLX0-7711			periplasmic chaperone Skp	
DEOA-CPLX				
ADENYLYLSULFKIN-CPLX				
CPLX0-7687			succinate semialdehyde dehydrogenase (NAD(P)<sup>+</sup>) Sad	
CPLX0-921			periplasmic chaperone, inhibitor of vertebrate C-type lysozyme	
ACETOLACTSYNI-CPLX				acetohydroxybutanoate synthase I, acetohydroxy-acid synthase I, acetolactate synthase I, AHASI
CPLX0-7667			NADPH-dependent aldehyde reductase YqhD	
CPLX0-8580			DinJ-YafQ-phosphate	
ABC-55-CPLX			putative transport complex, ABC superfamily	
CPLX0-7643			ketol-acid reductoisomerase (NADP<sup>+</sup>)	2-hydroxy-3-ketol-acid reductoisomerase, &alpha;-acetohydroxy acid isomeroreductase, acetohydroxy acid isomeroreductase, KARI
CPLX0-8555			c-di-GMP phosphodiesterase PdeK	
ABC-304-CPLX			leucine / L-phenylalanine ABC transporter	
CPLX0-7616			tartronate semialdehyde reductase 2	
CPLX0-8535			putative diguanylate cyclase DgcE	
ABC-15-CPLX			branched chain amino acid / phenylalanine ABC transporter	LIV-I transport system
CPLX0-7532			ammonium transporter	
CPLX0-8291			heme chaperone HemW	
1-PFK				
CPLX0-7423			23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase	
CPLX0-8261				
UDPNACETYLGLUCOSAMACYLTRANS-CPLX			acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase	LpxA
CPLX0-3959			Xer site-specific recombination system	
CPLX0-8237			DLP12 prophage; crossover junction endodeoxyribonuclease RusA	
TPI				
CPLX0-3936			dihydroneopterin aldolase	
CPLX0-821			fructoselysine 6-phosphate deglycase	
SUCCCOASYN				
CPLX0-3841				
CPLX0-8188			Z-ring inhibitor complex MinCD	
RIBONUCLEOSIDE-DIP-REDUCTII-CPLX			ribonucleoside-diphosphate reductase 2	RDPR-II
CPLX0-3561			hydrogenase isozymes nickel incorporation protein HypB	GTP hydrolase involved in nickel liganding into hydrogenases
CPLX0-8165			ssDNA-binding protein	SSB, DNA unwinding protein, helix destabilising protein, DNA melting protein
PSERTRANSAM-CPLX			phosphoserine/phosphohydroxythreonine aminotransferase	
CPLX0-3201			peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase	
CPLX0-8123			6-carboxy-5,6,7,8-tetrahydropterin synthase	
PHOSPHO-ENVZ			EnvZ-<i>N</i>-phospho-L-histidine	EnvZ-P<sup>his243</sup>, sensor histidine kinase EnvZ - phosphorylated
CPLX0-3001			peptidase D	carnosinase
CPLX0-8104			methyl-accepting chemotaxis protein - dipeptide-sensing	
PC00086			transcriptional activator RhaS	RhaS
CPLX0-254				
CPLX0-8033				
OROPRIBTRANS-CPLX				
ORNCARBAMTRANSFERI-CPLX			ornithine carbamoyltransferase	OTCase-1
CPLX0-2381			degradosome	
CPLX0-7990			dTDP-4-dehydro-6-deoxy-D-glucose transaminase	
NAG1P-URIDYLTRANS-CPLX			fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase	
CPLX0-2121			multidrug efflux pump EmrAB-TolC	
CPLX0-7970			HypT-[Met]reduced	YjiE
MALATE-DEHASE				
CPLX0-1721			copper/silver export system	CusCFBA
CPLX0-7945			zinc-binding phosphatase YcdX	
IMP-DEHYDROG-CPLX				
CPLX0-1242			MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor	MazE-MazF "addiction module", MazFE, MazEF
CPLX0-7921			mannose-specific PTS enzyme IIAB component	IIABMan, IIAB<sup>man</sup>
GST-CPLX			glutathione <i>S</i>-transferase GstA	
CPLX-8331			cyclic pyranopterin monophosphate synthase	
CPLX0-7879			NusB-S10 complex	NusB-NusE complex
GLUTKIN-CPLX			glutamate 5-kinase	G5K
CPLX-159			putative PTS enzyme II FrvAB	EII<sup>Frv</sup>, Enzyme II<sup>Frv</sup>
CPLX0-7836			putative ethanolamine catabolic microcompartment shell protein EutS	
GCVP-CPLX				
HYDG-MONOMER	EG10482	P14375	DNA-binding transcriptional activator ZraR	HydG, ZraR response regulator
CARNDEHYDRA-CPLX				
CPLX0-7806			disulfide bond oxidoreductase YfcG	disulfide reductase
PHOP-MONOMER	EG10731	P23836	DNA-binding transcriptional dual regulator PhoP	PhoP, PhoP response regulator
FORMATEDEHYDROGN-CPLX				Fdh-N, formate:menaquinone oxidoreductase
ATPA-CPLX			ATP synthase F<sub>1</sub> complex subunit &alpha;	ATP synthase F<sub>1</sub> complex - alpha subunit
PII2-CPLX			nitrogen regulatory protein PII-2	PII-2, nitrogen regulatory protein GlnK
CPLX0-7758			2'-<i>O</i>-acetyl-ADP-ribose deacetylase, regulator of RNase III activity	
ENTMULTI-CPLX				enterobactin synthetase multienzyme complex
PIIPROTEIN-CPLX			nitrogen regulatory protein PII-1	PII, PII-1
AROH-CPLX				
CPLX0-7727			16S rRNA m<sup>3</sup>U1498 methyltransferase	ribosomal RNA small subunit methyltransferase E
DIOHBUTANONEPSYN-CPLX				
AMP-NUCLEOSID-CPLX				
CPLX0-7708			DNA-binding transcriptional dual regulator CueR-Cu<sup>+</sup>	
DAPASYN-CPLX			adenosylmethionine-8-amino-7-oxononanoate aminotransferase	adenosylmethionine-8-amino-7-oxononanoate transaminase
ADCLY-CPLX				
CPLX0-881			ClpA ATP-dependent protease specificity component and chaperone	
ABC-8-CPLX			dipeptide ABC transporter	DppABCDF
CPLX0-7660				
CPLX0-8574			PF03887 family protein YfbU	
ABC-51-CPLX			putative transport complex, ABC superfamily	
CPLX0-7633			L-fuculose-phosphate aldolase	
CPLX0-8551			lipophilic envelope spanning tunnel	
ABC-28-CPLX			ribose ABC transporter	
CPLX0-7613			putative ethanolamine catabolic microcompartment shell protein EutN	
CPLX0-8314			sensor histidine kinase EvgS	
ABC-12-CPLX			L-glutamine ABC transporter	
CPLX0-7525			2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	
CPLX0-8285			OmpR dimer	
CPLX0-7420			tRNA Cm32/Um32 methyltransferase	
CPLX0-8256			HU&alpha;&alpha;	
TYRS-CPLX				
CPLX0-3956			50S ribosomal protein complex L8	
CPLX0-8232			carnitine monooxygenase	
THYMIDYLATESYN-CPLX				
CPLX0-3932			multidrug efflux pump AcrAD-TolC	
CPLX0-8206			dihydroxyacetone kinase, phosphotransferase component	
SPERMACTRAN-CPLX			spermidine <i>N</i>-acetyltransferase	
CPLX0-3802			DNA polymerase III, &tau; subunit dimer	
CPLX0-8185			PF10636 family protein YdiE	
RIB5PISOMA-CPLX			ribose-5-phosphate isomerase A	
CPLX0-3501			7-cyano-7-deazaguanine reductase	
CPLX0-8160				complex II, succinate-ubiquinone oxidoreductase, SQR, SdhCDAB, succinate dehydrogenase, succinate-Q reductase
PROS-CPLX				
CPLX0-3141			putative quinol monooxygenase YgiN	
CPLX0-8120			putative ABC transporter ArtPQMI	
PHOSPHO-ATOS			AtoS-<i>N</i>-phospho-L-histidine	AtoS-P<sup>his398</sup>, phosphorylated AtoS
CPLX0-2941			protease IV, a signal peptide peptidase	
CPLX0-8098				
PC00040			DNA-binding transcriptional dual regulator CysB	CysB
CPLX0-252			3-oxoacyl-[acyl carrier protein] synthase 3	KASIII
CPLX0-8016				
CPLX0-8013				
NUCLEOSIDE-DIP-KIN-CPLX			nucleoside diphosphate kinase	
CPLX0-2361			DNA polymerase III, core enzyme	
CPLX0-7987			predicted enamine/imine deaminase	
N-ACETYLTRANSFER-CPLX			N-acetylglutamate synthase	NAGS, acetyl-CoA:L-glutamate N-acetyltransferase, amino-acid-N-acetyltransferase
CPLX0-2021			DNA-binding transcriptional dual regulator HU	HU, HU&alpha;&beta;
CPLX0-7962			L-amino acid N-acyltransferase	
LYSS-CPLX			lysine&mdash;tRNA ligase, constitutive	
CPLX0-1642			ribonuclease E inhibitor protein A	
CPLX0-7940			CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase	
HYDROPEROXIDI-CPLX			catalase/hydroperoxidase HPI	catalase HPI, HPI
CPLX0-1163			HslVU protease	ClpYQ protease, HslUV protease
CPLX0-7914			multifunctional nuclease Cas1	
GPT-CPLX			xanthine-guanine phosphoribosyltransferase	
CPLX-7			arsenite/antimonite:H<sup>+</sup> antiporter	ArsB arsenite transporter, ArsB
CPLX0-7870			sensor histidine kinase AtoS	AtoS
GLUTATHIONE-SYN-CPLX				
CPLX-156			mannitol-specific PTS enzyme II CmtBA	EII<sup>Cmt</sup>, Enzyme II<sup>Cmt</sup>
CPLX0-7826			dITP/XTP pyrophosphatase	
GALACTURIDYLYLTRANS-CPLX			galactose-1-phosphate uridylyltransferase	
BRANCHED-CHAINAMINOTRANSFER-CPLX			branched-chain-amino-acid aminotransferase	BCAT, transaminase B
CPLX0-7801			predicted structural protein, ethanolamine utilization microcompartment	
FOLD-CPLX			bifunctional methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase	
ASPS-CPLX				
CPLX0-7755				
ENOLASE-CPLX				
AROD-CPLX				
CPLX0-7724			formate dehydrogenase formation protein	
DIHYDROPTERIREDUCT-CPLX			NAD(P)H-dependent nitroreductase NfsB	
ALPHA-SUBUNIT-CPLX			formate dehydrogenase N, subcomplex	
CPLX0-7704			ATP-dependent Lipid A-core flippase	
CYTIDEAM-CPLX			cytidine/deoxycytidine deaminase	
ACSERLYA-CPLX			cysteine synthase A	
CPLX0-7684			L-valine exporter	YgaZ/YgaH L-valine exporter complex
CPLX0-8593			DNA-binding transcriptional dual regulator NanR	
ABC-64-CPLX				
CPLX0-7657			BglG - his101 phosphorylated	BglG-P<sup>his101</sup>
CPLX0-8570			uridylyl-[protein PII-2]	
ABC-48-CPLX			putative transport complex, ABC superfamily	
CPLX0-7630			multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1	TAP complex
CPLX0-8548				
ABC-25-CPLX			putrescine ABC transporter	
CPLX0-7609				
CPLX0-8308			ubiquinone biosynthesis complex UbiUV	
7KAPSYN-CPLX				
CPLX0-7465			alanine racemase 2	
CPLX0-8279			murein lipoprotein	Braun lipoprotein
CPLX0-7415			lipid A disaccharide synthase	
